res_type,count
azurerm_snapshot,54
azurerm_mariadb_server,1
azurerm_mysql_firewall_rule,1
azurerm_network_interface,90
azurerm_virtual_network,81
azurerm_container_group,7
azurerm_mssql_database,3
azurerm_storage_container,38
azurerm_vpn_server_configuration,2
azurerm_application_gateway,1
azurerm_key_vault,11
azurerm_mariadb_database,4
azurerm_network_watcher,40
azurerm_windows_virtual_machine,7
azurerm_eventhub,3
azurerm_postgresql_database,3
azurerm_mysql_virtual_network_rule,1
azurerm_cosmosdb_account,2
azurerm_key_vault_key,1
azurerm_linux_virtual_machine_scale_set,20
azurerm_iothub_dps,1
azurerm_network_ddos_protection_plan,1
azurerm_mysql_server,3
azurerm_nat_gateway,2
azurerm_firewall,1
azurerm_mysql_configuration,489
azurerm_network_watcher_flow_log,3
azurerm_mssql_firewall_rule,4
azurerm_managed_disk,95
azurerm_virtual_machine_extension,82
azurerm_route_table,10
azurerm_role_definition,425
azurerm_virtual_wan,1
azurerm_kubernetes_cluster,8
azurerm_mssql_server,6
azurerm_mariadb_configuration,182
azurerm_eventhub_namespace,2
azurerm_monitor_action_group,12
azurerm_mssql_server_transparent_data_encryption,3
azurerm_postgresql_server,1
azurerm_mssql_server_extended_auditing_policy,6
azurerm_linux_virtual_machine,67
azurerm_servicebus_namespace,1
azurerm_proximity_placement_group,1
azurerm_monitor_diagnostic_setting,13
azurerm_monitor_activity_log_alert,6
azurerm_eventhub_namespace_authorization_rule,2
azurerm_postgresql_firewall_rule,2
azurerm_analysis_services_server,3
azurerm_storage_account,49
azurerm_availability_set,1
azurerm_network_security_group,107
azurerm_disk_encryption_set,3
azurerm_windows_virtual_machine_scale_set,4
azurerm_databricks_workspace,6
azurerm_local_network_gateway,1
azurerm_postgresql_configuration,168
azurerm_network_profile,1
azurerm_lb,12
azurerm_private_endpoint,6
azurerm_iothub,2
azurerm_private_link_service,1
azurerm_public_ip_prefix,2
azurerm_eventhub_consumer_group,1
azurerm_public_ip,118
azurerm_monitor_log_profile,2
azurerm_eventhub_authorization_rule,2
azurerm_mysql_database,14
